owner,name,dms_gps,dd_gps,country_code,country,address,ai prediction,sentinel 5P https://maps.s5p-pal.com/,Double Check
clement,bergson_img_2021_04_17_01_46_39.jpg,"('42.0°42.0'38.3""N', '174.0°3.0'43.6""W')","(42.01166666666666, -174.00083333333333)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_47_01.jpg,"('41.0°56.0'18.0""N', '172.0°32.0'22.6""W')","(41.01555555555556, -172.0088888888889)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_47_24.jpg,"('41.0°6.0'26.3""N', '170.0°59.0'23.4""W')","(41.001666666666665, -170.01638888888888)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_47_45.jpg,"('40.0°19.0'42.8""N', '169.0°36.0'40.6""W')","(40.00527777777778, -169.01)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_48_07.jpg,"('39.0°29.0'35.8""N', '168.0°12.0'12.3""W')","(39.00805555555556, -168.00333333333333)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_48_28.jpg,"('38.0°40.0'42.3""N', '166.0°53.0'35.4""W')","(38.01111111111111, -166.01472222222222)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_48_49.jpg,"('37.0°50.0'50.1""N', '165.0°36.0'53.1""W')","(37.013888888888886, -165.01)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_49_12.jpg,"('36.0°55.0'9.2""N', '164.0°14.0'59.4""W')","(36.015277777777776, -164.0038888888889)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_49_33.jpg,"('36.0°3.0'23.7""N', '163.0°2.0'4.7""W')","(36.00083333333333, -163.00055555555556)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_49_54.jpg,"('35.0°10.0'48.6""N', '161.0°50.0'52.6""W')","(35.00277777777778, -161.01388888888889)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_50_17.jpg,"('34.0°12.0'19.0""N', '160.0°34.0'46.9""W')","(34.00333333333333, -160.00944444444445)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_50_38.jpg,"('33.0°18.0'8.1""N', '159.0°26.0'57.3""W')","(33.005, -159.00722222222223)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_50_59.jpg,"('32.0°23.0'15.2""N', '158.0°20.0'38.2""W')","(32.006388888888885, -158.00555555555556)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_51_22.jpg,"('31.0°22.0'23.2""N', '157.0°9.0'39.6""W')","(31.00611111111111, -157.0025)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_51_42.jpg,"('30.0°28.0'51.1""N', '156.0°9.0'17.2""W')","(30.00777777777778, -156.0025)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_52_05.jpg,"('29.0°26.0'37.7""N', '155.0°1.0'19.9""W')","(29.00722222222222, -155.00027777777777)",none,nan,not found,low,low,no
