Date/time,Location,Picture Name,Predicted NO2
2021-04-17 01:47:01.360650,"(0.7319621443748474, -3.0113844871520996)",bergson_img_2021-04-17_01:46:39.jpg,low
2021-04-17 01:47:24.431233,"(0.7174579501152039, -2.9843356609344482)",bergson_img_2021-04-17_01:47:01.jpg,low
2021-04-17 01:47:45.462816,"(0.7038659453392029, -2.960275411605835)",bergson_img_2021-04-17_01:47:24.jpg,low
2021-04-17 01:48:07.775054,"(0.6892879009246826, -2.9357032775878906)",bergson_img_2021-04-17_01:47:45.jpg,low
2021-04-17 01:48:28.880668,"(0.6750655770301819, -2.9128353595733643)",bergson_img_2021-04-17_01:48:07.jpg,low
2021-04-17 01:48:49.920102,"(0.6605589389801025, -2.8905224800109863)",bergson_img_2021-04-17_01:48:28.jpg,low
2021-04-17 01:49:12.496140,"(0.6443619132041931, -2.8667001724243164)",bergson_img_2021-04-17_01:48:49.jpg,low
2021-04-17 01:49:33.496650,"(0.6293063163757324, -2.8454911708831787)",bergson_img_2021-04-17_01:49:12.jpg,low
2021-04-17 01:49:54.494902,"(0.6140096783638, -2.824779748916626)",bergson_img_2021-04-17_01:49:33.jpg,low
2021-04-17 01:50:17.667628,"(0.5969948172569275, -2.8026444911956787)",bergson_img_2021-04-17_01:49:54.jpg,low
2021-04-17 01:50:38.668615,"(0.58123379945755, -2.782914400100708)",bergson_img_2021-04-17_01:50:17.jpg,low
2021-04-17 01:50:59.596118,"(0.5652693510055542, -2.7636232376098633)",bergson_img_2021-04-17_01:50:38.jpg,low
2021-04-17 01:51:22.010759,"(0.5475641489028931, -2.7429771423339844)",bergson_img_2021-04-17_01:50:59.jpg,low
2021-04-17 01:51:42.837371,"(0.5319914817810059, -2.7254152297973633)",bergson_img_2021-04-17_01:51:22.jpg,low
2021-04-17 01:52:05.144468,"(0.5138912796974182, -2.7056479454040527)",bergson_img_2021-04-17_01:51:42.jpg,low
2021-04-17 01:52:26.114973,"(0.4971960783004761, -2.6879818439483643)",bergson_img_2021-04-17_01:52:05.jpg,low
